,programTitle,infoCat,region,url,description,organization,contact,page
12,['AgriProfit$ cost of production and business analysis program'],[],[],['https://www.alberta.ca/agriprofits.aspx'],['\nThis program delivers economic benchmarks to the public and cost of production information to Alberta producers.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],"['\nBeef\n\nann.boyda@gov.ab.ca\n\n1-780-422-4088\n', '\nField crops\n\nml.manglai@gov.ab.ca\n\n1-780-422-4056\n', '\nDairy\n\npauline.vanbiert@gov.ab.ca\n\n1-780-415-2153\n', '\nBeekeeping and greenhouse crops\n\nemmanuel.laate@gov.ab.ca\n\n1-780-422-4054\n']",1
13,['AgriProfit$ – Beef cost of production economics'],[],[],['https://www.alberta.ca/agriprofits-beef-economics.aspx'],"['\nHelps beef producers measure their business’s performance, and identify where it is running well or may need some tweaks.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],1
14,['AgriRecovery'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/agrirecovery'],['\nAgriRecovery is an FPT\xa0disaster relief framework\xa0intended to work together with the core BRM programs to help agricultural producers recover from\xa0natural disasters.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n1-855-773-0241\n1-613-773-2600\n'],1
15,['AgriRecovery: Herd Management Drought Assistance'],[],[],['https://www.gov.mb.ca/agriculture/livestock/agrirecovery-herd-management-assistance.html'],"['\nThis program will assist livestock producers in offsetting the cost of replacing breeding animals when culling is above normal due to shortages of winter feed. The application package will be available on\xa0January\xa010, 2022.\n']",['\nManitoba Agriculture\n'],['\n1-844-769-6224\n\nagaction@gov.mb.ca\n\n'],1
16,['AgriRecovery: Livestock Feed and Transportation Drought Assistance'],[],[],['https://www.gov.mb.ca/agriculture/livestock/agrirecovery-feed-purchase-transport-assistance.html'],['\nThe program will help livestock producers affected by low moisture conditions in 2021 purchase feed in order to maintain their breeding herds.\n'],['\nManitoba Agriculture\n'],['\n1-844-769-6224\n\nARD@gov.mb.ca\n\n'],1
17,['AgriRecovery: Livestock Transportation Drought Assistance'],[],[],['https://www.gov.mb.ca/agriculture/livestock/agrirecovery-livestock-transportation-assistance.html'],['\nThe program will help livestock producers affected by low moisture conditions in 2021 with extraordinary transportation costs and to manage breeding herd feed shortages. Financial assistance helps to offset freight expenses associated with moving livestock to alternate feeding locations.\n'],['\nManitoba Agriculture\n'],['\n1-844-769-6224\n\nagaction@gov.mb.ca\n\n'],1
18,['AgriRisk Initiatives: Administrative Capacity Building Stream'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/agririsk-initiatives-administrative-capacity-building-stream'],['\nThe AgriRisk Initiatives (ARI) program supports the development of new risk management tools for use in the agriculture sector.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.ari-iar.aac@agr.gc.ca\n\n1-877-246-4682\n'],1
19,['AgriRisk Initiatives: Microgrants'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/agririsk-initiatives-microgrants'],"['\nThe AgriRisk Initiatives (ARI) program supports the development of new risk management tools for use in the agriculture sector. The ARI will offer Microgrants of up to $25,000 per year (to a maximum of three years) for academic research proposals that can inform development of alternative risk management tools.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.ari-iar.aac@agr.gc.ca\n\n1-877-246-4682\n'],1
20,['AgriRisk Initiatives: Research and Development Contribution Funding Stream'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/agririsk-initiatives-research-and-development-contribution-funding-stream'],['\nThe AgriRisk Initiatives (ARI) program supports the development of new risk management tools for use in the agriculture sector.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.ari-iar.aac@agr.gc.ca\n\n1-877-246-4682\n'],1
21,['AgriScience Program – Clusters'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/agriscience-program-clusters'],['\nThe program aims to accelerate the pace of innovation by providing funding and support for pre-commercial science activities and cutting-edge research that benefits the agriculture and agri-food sector and Canadians.\xa0\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.agriscienceprogram-programmeagri-science.aac@agr.gc.ca\n\n1-877-246-4682\n1-613-773-2600\n'],1
22,['AgriScience Program – Projects'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/agriscience-program-projects'],['\nProvides funding\xa0to support specific shorter-term research activities to help industry overcome challenges and address fiscal barriers experienced by small and emerging sectors.\xa0\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.agriscienceprogram-programmeagri-science.aac@agr.gc.ca\n\n1-877-246-4682\n1-613-773-2600\n'],1
23,['AgriSkills'],[],[' Across Canada '],['https://cahrc-ccrha.ca/programs/agriskills'],"['\nPractical, targeted training options for agricultural employers, employees, associations and educators.\n']",['\nCanadian Agricultural Human Resource Council\n'],['\n202-1283 Algoma Rd Ottawa ON K1B 3W7\n\ninfo@cahrc-ccrha.ca\n\n1-613-745-7457\n'],1
24,['AgriStability'],[],[],['https://www.princeedwardisland.ca/en/information/agriculture-and-land/agristability-program'],"['\nProvides funding to offer protection against large declines in farm income caused by circumstances such as low prices, rising input costs, and production losses.\n']",['\nPrince Edward Island Department of Agriculture and Fisheries\n'],['\n1-902-836-8912\n1-855-251-9695\n'],1
25,['AgriStability'],[],[],['http://www.agricorp.com/en-ca/Programs/AgriStability/Pages/Overview.aspx'],"['\nAgriStability protects producers from large declines in their farming income caused by production loss, increased costs or market conditions.\nYour allowable income and expenses for all the commodities you produce are used to calculate your margins, protecting the income of your whole farm.\n']",['\nAgricorp\n'],['\n\ncontact@agricorp.com\n\n1-519-826-4334\n1-888-247-4999\n'],1
26,['AgriStability'],[],[],['https://afsc.ca/income-stabilization/agristability/'],['\nProvides Canadian agricultural producers with an ongoing whole-farm risk management tool that provides protection against large declines that threaten the viability of their farm and are beyond their capacity to manage.\n'],['\nAgriculture Financial Services Corporation\n'],['\n1-877-899-2372\n\ninfo@afsc.ca\n\n\nhttps://afsc.ca/contact/\n\n'],1
27,['AgriStability'],[],[],['https://www.fadq.qc.ca/en/agristability/description/'],['\nProvides support to protect the overall income of your farm business. It is based on your actual financial information and stabilizes your income in the event of a decline in your production margin.\n'],['\nLa Financière agricole du Québec\n'],"['\nHead Office\n1400, boulevard Guillaume-Couture, Lévis QC, Canada G6W 8K7\n\nhttps://www.fadq.qc.ca/en/contact-us/#c1385\n\n1-418-833-3871\n1-418-838-5602\n1-800-749-3646\n']",1
28,['AgriStability'],[],[],['http://www.gov.mb.ca/agriculture/canadian-agricultural-partnership/business-risk-management-programs/agri-stability.html'],"[""\nProvides support when a producer experiences large decline in the farm's operating margin.\xa0\n""]",['\nManitoba Agriculture and Resource Development\n'],['\n\nhttps://www.gov.mb.ca/agriculture/contact/\n\n1-866-367-8506\n'],1
29,['AgriStability'],[],[],['http://www.saskcropinsurance.com/agristability/'],"['\nThe AgriStability program is designed to help farm operations facing large margin declines caused by production loss, increased costs or market conditions.\n']",['\nSaskatchewan Ministry of Agriculture\n'],['\n\nagristability@scic.ca\n\n1-888-728-0440\n1-866-270-8450\n'],1
30,['AgriStability'],[],[],['https://www2.gov.bc.ca/gov/content/industry/agriculture-seafood/programs/agriculture-insurance-and-income-protection-programs/agriculture-income-protection-agristability'],['\nAgriculture producers can adapt and invest in their farm operation by managing the risk of small and large income declines.\n'],['\nBritish Columbia Ministry of Agriculture\n'],['\n\nAgriStability@gov.bc.ca\n\n1-877-605-8467\n1-877-343-2767\n'],1
31,['AgriStability'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/agristability'],"['\nAgriStability protects Canadian producers against large declines in farming income for reasons such as production loss, increased costs and market conditions.\n']",['\nAgriculture and Agri-Food Canada\n'],"['\n1-877-949-4885\n1-866-367-8506\n1-613-773-2600\n', '\nCalling from outside of Canada\n1-204-259-5642\n1-204-926-9650\n']",1
32,['AgriStability Late Participation- Frequently Asked Questions'],[],[],['https://www.princeedwardisland.ca/en/information/agriculture-and-fisheries/agristability-late-participation-frequently-asked-questions'],"['\nUnder the new Canadian Agricultural Partnership, governments agreed to allow producers to join the program after the enrolment deadline if there is a significant downturn in a farm sector and a gap in participation.\n']",['\nPrince Edward Island Department of Agriculture and Land\n'],['\n1-902-836-0435\n1-855-251-9695\n\nDeptAgLand@gov.pe.ca\n\n'],1
33,['AgriStability Program'],[],[],['http://www2.gnb.ca/content/gnb/en/services/services_renderer.200589.AgriStability_Program_.html'],"[""\nProvides assistance when a producer's current year program margin falls below 70% of the producer's historical reference margin. For New Brunswick agricultural producers, the AgriStability program is delivered by Agriculture and Agri-Food Canada in Winnipeg, Manitoba.\n""]","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']",['\nIndustry Financial Programs (Branch)\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-2185\n'],1
34,['AgriStartNB'],[],[],['https://www.agristartnb.ca/'],"['\nThe website provides information on available government programs, equipment, labour and training, commodities and markets. It also has an on-line directory that will bring together people looking for farms and farmland and those leasing or selling it.\n']",['\nAgricultural Alliance of New Brunswick\n'],['\n\nalliance@fermeNBfarm.ca\n\n1-506-452-1085\n1-506-452-8101\n'],1
35,['AgriWomen'],['Guides/Information'],[' Across Canada '],['https://cahrc-ccrha.ca/programs/agri-diversity#section-agri-women'],"['\nWomen working in the primary agriculture sector occupy positions in every industry from beef to beekeeping, from entry-level workers to farm owners.\n']",['\nCanadian Agricultural Human Resource Council\n'],"['\n202-1283 Algoma Road, Ottawa, ON K1B 3W7\n1-613-745-7457\n\ninfo@cahrc-ccrha.ca\n\n']",1
36,['AgriWorkforce Diversity'],['Guides/Information'],[' Across Canada '],['https://cahrc-ccrha.ca/programs/agridiversity'],"['\nTo attract the right people, you need to create a welcoming and inclusive workplace—a place where people of different genders, religions, nationalities, cultures, sexual orientations, languages, and abilities can feel comfortable, respected, and valued.\n']",['\nCanadian Agricultural Human Resource Council\n'],"['\n202-1283 Algoma Road, Ottawa, ON K1B 3W7\n\ninfo@cahrc-ccrha.ca\n\n1-613-745-7457\n']",1
37,['Agribusiness Site Explorer'],[],[' Across Canada '],['https://agriculture.canada.ca/en/canadas-agriculture-sectors/agribusiness-site-explorer'],['\nThe Agribusiness Site Explorer is an interactive map-based tool that provides potential investors with information and data on different geographical sites across Canada.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n\nAAFC.invest-investir.AAC@agr.gc.ca\n\n'],1
38,['Agricultrices du Québec'],[],[],['https://agricultrices.com/'],"['\nThe vision of Les Agricultrices du Québec is to become the reference network for the success of women farmers and sustainable agriculture. To deploy this vision, our mission aims to provide women working in agriculture and forestry with a network dedicated to developing their potential. The objective is to bring together professionals wishing to participate fully in the development of agriculture and forestry.\n']",['\nAgricultrices du Québec\n'],"['\n555, boul. Roland-Therrien Longueuil Qc J4H 4E7\n1-450-679-0540, extension 8469\n1-450-463-5228\n\nfed.agricultrices@upa.qc.ca\n\n']",1
39,['Agricultural Adaptation Council'],[],[],['https://adaptcouncil.org/'],"[""\nDelivers funding programs and services that stimulate growth and opportunity for Ontario's agriculture and agri-food industry.\n""]",['\nAgricultural Adaptation Council\n'],"['\n381 Elmira Road North, Unit 1, Guelph, ON, N1K 1H3\n1-519-822-7554\n1-519-822-6248\n\ninfo@adaptcouncil.org\n\n']",1
40,['Agricultural Adaptation to Climate Change'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/environment/climate-change/adaptation.html'],['\nAgricultural adaptation is the development of heat or drought resistant crop cultivars that will be able to grow in warmer climates with potentially less water.\n'],['\nManitoba Agriculture and Resource Development\n'],['\nManitoba Agriculture Office\n1-844-769-6224\n\nARD@gov.mb.ca\n\n'],1
41,"['Agricultural Agencies, Boards and Commissions']",['Guides/Information'],[],['https://www.princeedwardisland.ca/en/topic/agriculture-0'],"['\nProfiles of Agricultural Agencies, Boards and Commissions.\n']",['\nPrince Edward Island Department of Agriculture and Land\n'],['\n\npeiextension@gov.pe.ca\n\n1-902-368-4857\n1-902-368-4880\n1-866-734-3276\n'],1
42,['Agricultural Alliance of New Brunswick'],[],[],['https://www.fermenbfarm.ca/'],['\nRepresents farmers in New Brunswick.\n'],['\nAgricultural Alliance of New Brunswick\n'],"['\nPamela Walton\n2-150 Woodside Lane, Fredericton, NB, E3C 2R9\n1-506-452-8101\n1-506-452-1085\n\nalliance@fermeNBfarm.ca\n\n']",1
43,['Agricultural Ammonia Indicator'],['Guides/Information'],[' Across Canada '],['https://agriculture.canada.ca/en/agriculture-and-environment/climate-change-and-air-quality/agricultural-ammonia-indicator'],['\nThe Agricultural Ammonia Indicator estimates the ammonia emissions associated with Canadian agricultural activities from 1981 to 2011.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n1-855-773-0241\n1-613-773-2600\n1-613-773-1081\n\naafc.info.aac@agr.gc.ca\n\n'],1
44,['Agricultural Biomass for Combustion Energy'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/engineer/biomass/index.htm'],['\nInformation on agricultural biomass for energy.\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],1
45,['Agricultural Burning'],['Guides/Information'],[],['https://www2.gov.bc.ca/gov/content/industry/agriculture-seafood/agricultural-land-and-environment/air-management/agricultural-burning'],['\nLearn more about agricultural burning.\n'],['\nBritish Columbia Ministry of Agriculture\n'],['\n\nAgriServiceBC@gov.bc.ca\n\n1-888-221-7141\n'],1
46,['Agricultural Business Management'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/busdev/agbusdev.html'],"['\nFrom capital investment decisions to managing your staff, the Ontario Ministry of Agriculture, Food and Ministry of Rural Affairs (OMAFRA) Business Management Unit provides you with the tools you need to make informed business decisions.\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\nag.info.omafra@ontario.ca\n\n1-877-424-1300\n'],1
47,['Agricultural Carbon Offsets'],['Guides/Information'],[],['https://www.alberta.ca/agricultural-carbon-offsets.aspx'],"[""\nInformation for Alberta's carbon offset market.\n""]",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],1
48,['Agricultural Clean Technology Program: Adoption Stream'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/agricultural-clean-technology-program-adoption-stream'],"['\nThe Adoption Stream will support the purchase and installation of commercially available clean technologies and processes with a priority given to those that show evidence of reducing greenhouse gas (GHG) emissions, and other environmental co-benefits.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n1-877-246-4682\n\naafc.act-a-tpa-a.aac@agr.gc.ca\n\n'],1
49,['Agricultural Clean Technology Program: Research and Innovation Stream'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/agricultural-clean-technology-program-research-and-innovation-stream'],"['\nThe Research and Innovation Stream will support pre-market innovation, including research, development, demonstration and commercialization activities, to develop transformative clean technologies and enable the expansion of current technologies, in 3 priority areas - green energy and energy efficiency, precision agriculture and bioeconomy.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n\naafc.act-ri-tpa-ri.aac@agr.gc.ca\n\n1-877-246-4682\n'],1
50,['Agricultural Climate Solutions Program - Living Labs'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/agricultural-climate-solutions-program-living-labs-step-1-what-program-offers'],"['\nThe goal of the Agricultural Climate Solutions Program (ACS) is to accelerate co-development, testing, adoption, dissemination and monitoring of technologies and practices, including beneficial management practices (BMPs), that sequester carbon and/or mitigate greenhouse gas (GHG) emissions.\n']",['\nAgriculture and Agri-Food Canada\n'],['\n1-877-246-4682\n1-613-773-2600\n\naafc.acs-sac.aac@canada.ca\n\n'],1
51,['Agricultural Climate Solutions – On-Farm Climate Action Fund'],[],[' Across Canada '],['https://agriculture.canada.ca/en/agricultural-programs-and-services/agricultural-climate-solutions-farm-climate-action-fund-0'],['\nThe On-Farm Climate Action Fund is an initiative to help farmers tackle climate change.\n'],['\nAgriculture and Agri-Food Canada\n'],['\n1-877-246-4682\n1-613-773-2600\n\naafc.acs-sac.aac@agr.gc.ca\n\n'],1
52,['Agricultural Crown Land Purchases'],[],[],['http://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/crown-lands/agricultural-crown-land/purchase-crown-land'],"[""\nCurrent information on Saskatchewan's Crown lands sales and policies.\n""]",['\nSaskatchewan Ministry of Agriculture\n'],['\n\naginfo@gov.sk.ca\n\n1-306-694-3938\n1-866-457-2377\n'],1
53,['Agricultural Crown Lands'],['Guides/Information'],[],['http://www.saskatchewan.ca/business/agriculture-natural-resources-and-industry/agribusiness-farmers-and-ranchers/crown-lands/agricultural-crown-land'],"['\nLearn about Agricultural Crown lands in Saskatchewan, including information about leasing and purchasing.\n']",['\nSaskatchewan Ministry of Agriculture\n'],"['\nSwift Current\n1-306-778-8604\n1-306-778-8285\n', '\nYorkton\n1-306-786-1511\n1-306-786-1531\n', '\nTisdale\n1-306-878-8810\n1-306-878-8842\n']",1
54,['Agricultural Crown Lands Leasing Program'],['Guides/Information'],[],['https://www.gov.mb.ca/agriculture/land-management/crown-land/leasing-program.html'],['\nInformation and direction on all aspects of agricultural Crown land use in Manitoba\n'],['\nManitoba Agriculture and Resource Development\n'],['\nManitoba Agriculture Agricultural Crown Lands\n36 Armitage Avenue Minnedosa MB R0J 1E0\n204-867-6550\n204-867-6578\n\nagcrownlands@gov.mb.ca\n\n'],1
55,"['Agricultural Economics, Competitiveness and Statistics']",[],[],['https://www.alberta.ca/agricultural-economics-competitiveness-and-statistics.aspx'],"['\nAgriculture and agri-food business, trade and economics, and farm business management programs.\n']",['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],1
56,['Agricultural Education'],[],[],['https://www.alberta.ca/agricultural-education.aspx'],['\nClassroom activities and curriculum resources for Kindergarten to Grade 12 students.\n'],['\nAlberta Ministry of Agriculture and Forestry\n'],['\nAg-Info Centre\n\naginfocentre@gov.ab.ca\n\n1-403-742-7901\n310-3276\n'],1
57,['Agricultural Excellence Conference'],[],[' Across Canada '],['https://fmc-gac.com/programs-services/agricultural-excellence-conference/'],"['\nFarm Management Canada (FMC) hosts the Agricultural Excellence Conference (AgEx) every November, in a different Province each time.\n']",['\nFarm Management Canada\n'],"['\nHeather Oakley\nConference Manager\n250 City Centre Avenue, Ottawa, Ontario, K1R 6K7\ninfo(à)fmc-gac.com\n']",1
58,['Agricultural Exhibitions'],[],[],['https://www.mapaq.gouv.qc.ca/fr/Consommation/agrotourismeconso/Pages/Expositions-agricoles.aspx'],['\nInformation about agricultural exhibitions in Quebec.\n'],"['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-418-380-2110\n1-888-222-6272\n'],1
59,['Agricultural Exhibitions Support Program'],[],[],['https://www.mapaq.gouv.qc.ca/fr/Productions/md/programmesliste/developpementregional/Pages/exposition.aspx'],"[""\nThis program meets several objectives, including: increasing knowledge about food and fostering dialogue with consumers, promoting and enhancing Quebec's bio-food products, encouraging the health and well-being of animals and developing the attractiveness of territories.\n""]","['\nQuebec Ministry of Agriculture, Fisheries and Food\n']",['\n1-888-222-6272\n\nhttps://www.mapaq.gouv.qc.ca/fr/nousjoindre/Pages/NousJoindreRegions.aspx\n\n'],1
60,['Agricultural Funding Programs PEI'],[],[],['https://www.princeedwardisland.ca/en/topic/funding'],['\nInformation on available funding programs.\n'],['\nPrince Edward Island Department of Agriculture and Land\n'],['\n1-902-314-1607\n1-866-734-3276\n'],1
61,['Agricultural Greenhouse Gas Indicator'],['Guides/Information'],[' Across Canada '],['https://agriculture.canada.ca/en/agriculture-and-environment/climate-change-and-air-quality/agricultural-greenhouse-gas-indicator'],"['\nThe Agricultural Greenhouse Gas (GHG) Budget Indicator tracks the greenhouse gas emissions (carbon dioxide (CO2), nitrous oxide (N2O), and methane (CH4) emissions) associated with Canadian agricultural activities from 1981 to 2011, and reports them in terms of\xa0carbon dioxide equivalents\xa0(CO2e).\n']",['\nAgriculture and Agri-Food Canada\n'],['\n1-855-773-0241\n1-613-773-2600\n1-613-773-1081\n\naafc.info.aac@agr.gc.ca\n\n'],1
62,['Agricultural HR Toolkit'],['Guides/Information'],[' Across Canada '],['https://hrtoolkit.cahrc-ccrha.ca/'],"['\nProvides\xa0owners of agribusinesses with tools to improve their people-management skills, in order to find, retain and support employees.\n']",['\nCanadian Agricultural Human Resource Council\n'],"['\n202-1283 Algoma Road, Ottawa, ON K1B 3W7\n\ninfo@cahrc-ccrha.ca\n\n1-613-745-7457\n']",1
63,['Agricultural Impact Assessment'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/landuse/aia.htm'],['\nInformation on the Agricultural Impact Assessment that is defined in the Greenbelt and Growth Plan\n'],"['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],1
64,['Agricultural Information Atlas'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/landuse/gis/portal.htm'],"['\nThe Agricultural Information Atlas is an interactive online application that allows you to create custom maps and find agricultural information for Ontario. It combines agricultural data on soils and drainage, as well as data layers from other Government of Ontario ministries.\n']","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n1-877-424-1300\n\nag.info.omafra@ontario.ca\xa0\n\n'],1
65,['Agricultural Information Contact Centre'],['Guides/Information'],[],['http://www.omafra.gov.on.ca/english/realign/aicc.htm'],"[""\nWith experience and backgrounds in agriculture and agri-business, the centre's agents are available to answer questions, provide information to help you make decisions, and if needed, put you in touch with one of our experts.\n""]","['\nOntario Ministry of Agriculture, Food and Rural Affairs\n']",['\n\nag.info.omafra@ontario.ca\n\n1-877-424-1300\n'],1
66,['Agricultural Insurance'],[],[],['http://www2.gnb.ca/content/gnb/en/services/services_renderer.11995.Agricultural_Insurance.html'],"['\nAgricultural Insurance is a valuable business risk management tool that provides farmers with financial protection against production losses caused by natural perils, such as drought, excessive moisture, hail, frost, wind and wildlife.\xa0\n']","['\nNew Brunswick Agriculture, Aquaculture and Fisheries\n']","['\nContact SNB (Payment Only)\n\nsnb@snb.ca\n\n', '\nAgricultural Insurance (Unit)\n\nDAAF-MAAP@gnb.ca\n\n1-506-453-2666\n']",1
67,['Agricultural Labour Pool'],[],[' Across Canada '],['http://www.agri-labourpool.com/'],['\nAssists Canadian agricultural employers with human resource recruitment needs.\n'],['\nAgricultural Labour Pool\n'],"['\n1144 Vedder Crossing, Chilliwack, BC, V2R 3N7\n1-604-823-6222\n1-604-608-3939\n\ninfo@agri-labourpool.com\n\n']",1
